,id,tweet,Majority_Sentiment
58,88976748,"@username and you had to find a way to pin peter obi to this, you're beyond redemption ozu!!!  y'all keep mentioning peter obi unprovoked and when his supporters come for you, you start shedding tears.  ekwensu kpọọ gị ezigbote ọkụ, nkịta ara!!!",Abuse
59,88976749,"@username ụmụ agwọ, imo state",Hate
60,88976750,"@username mechie onu, onye iberibe. nzuzu gi kariri akari",Abuse
61,88976751,@username onye wukwanu  onye apari nka? onye iberibe. don't allow me insult me. anu mpama,Abuse
62,88976752,"@username nonso ikechukwu, mpa gi na mma gi enwero common sense. ibu onye nzuzu. nkita ara!",Abuse
63,88976753,@username 🤣 🤣 🤣 🤣 🤣. that guy bụ onye aghụghọ... ona atụ asị dị egwu,Abuse
64,88976754,"@username aba expressway ke🤣🤣🤣 anụmanụ u don't have eyes ọ, i don't blame you sha. onye iberibe",Abuse
65,88976755,"ndi ofe mmanu if una like make una gather in trillions plan am ifeanyi lives, iweghi ihe unu jetara na ya ##url",Hate
66,88976756,@username ndi ugwu ga-eme nwoke ubima ihe obj mere odili onye iberibe amaghi n'izu ka mma n'etiti umunne.,Hate
67,88976757,"ilu igbo  ekwe onye ekpenta n'aka, ibi ọma agụba ya.  if a leper is offered a handshake, he will want an embrace.",Normal
68,88976758,"huh? rt @username : ichota isi nkita, i were agba ya mee gini?",Normal
69,88976759,abeg keep shut  agadi ewu ##url,Abuse
70,88976760,onye iberibe. i wu ewu mmee ##url,Abuse
71,88976761,"abacha for alice""@username : isi ewu for margaret ""@username : nkwobi for loveth""""",Normal
72,88976762,"@username don't mind him,he gave out of sentiments.ebe anyi na enye nsogbu ka aloba gi na enwe nsogbu .#madridfinals",Normal
73,88976763,@username mgbe ọbụna mmadụ a na eme ka onye agwụ na enye nsogbu,Abuse
74,88976764,"anu nchi + anu mgbada + abacha + sweet palmi, umuawulu is a discovery",Normal
75,88976765,"all this abusive missing. u are weird x 500 rt @username : @username lol, mkpi na ewu. onye nzuzu. i've missed you, idiot :').",Abuse
76,88976766,"@username nwa nza, i ri kwala nri? maka na ị na akọ ka onye na erughị nri. iti bọlibọ onye ụchụ",Abuse
77,88976767,@username anu ohia rere ere. udele a buru onu. nkita ara.,Abuse
78,88976768,that na ibu onye agwu.... nwannem after pacifying your agwu your business achawaa....agwu(the creative force) ikuku ama na onya will be firing for u from all angles so far you don't abandon them.  after eze-chukwu-okike comes agwu... without agwu (creative force) nothing on this,Abuse
79,88976769,@username aga amuta nwaanyi,Normal
80,88976770,@username isi ewu like your isi azu mentor,Abuse
81,88976771,"mark enwerom ūя̲̅ time!""@username : lol nginwa onye jew""@username : ibu onye mgbu!!!"" @username lol....that one bu ūя̲̅ matter!""""""",Abuse
82,88976772,"@username ụmụ nne gị  na ụmụ nna gị nile atụrụ,",Abuse
83,88976773,ndi usa juru na this👇 thread!  abandoned property aguwakwala ha ozo!  ha erechaala ndi nna ha zukotara na 1970! ##url,Abuse
84,88976774,"@username you be confam aturu 🤣🤣🤣 mkpi , mmeeee , ewu zambia",Abuse
85,88976775,"😭😭""@username : nwere wayo 😂 @username : ndi ofe mmanu bu ndi nzuzu.""",Hate
86,88976776,@username as it should. amụ ndị ofe mmanụ ana ekeni,Hate
87,88976777,@username onye ara go sleep. onye iberibe mmụọ. ozu nwụrụ anwu,Abuse
88,88976778,@username gossiper who murdered them ? onye mgbu,Abuse
89,88976779,@username 😭😭😭. na mumu guy,Abuse
90,88976780,"bbc news ìgbò - n' imo steeti, ogige ụmụanụmanụ nwere ọtụtụ anụ ọhịa ##url",Normal
91,88976781,@username at edu brazil isi ewu joint.,Normal
92,88976782,@username kitikpa lashapu gi ma agbatobi gi ma ndi nnanna gi anya. ezi,Abuse
93,88976783,"@username ofeke your bio reads dubai, kitikpa gbagbuo gi there",Abuse
94,88976784,"@username ibu onye aburu onu..... tufiaa  in ur entire life,  don not think of visiting biafra land  onye ori",Abuse
95,88976785,"@username nna, i na-enwe ihe isi ike n'iku ume ọbụla, ọ bu ihe obi karia ka ọ bụ ọrịa shuga. ọ di mkpa na i ga-akata ahụ hụ dibịa oyibo ka eleta ahụ gi nke ọma.  nke kachasi nke, dị ka ọ bụ gi na nne gi ka ọ na-emetuta, o nwere ike ị bụ ọrịa na-eso usoro ezi n'ụlọ.",Normal
96,88976786,"@username amaka onye mgbu,you got your from where",Abuse
97,88976787,see ein hand like onye ekpenta na agba ##url,Abuse
98,88976788,"@username a ma m na nne gị gbatara gị na akwuna. well, atụrụ mụrụ ebini ga aka nwa.",Abuse
99,88976789,@username ịkụkụ kuo afụ ike ọkụkọ.,Normal
100,88976790,@username see onye iberibe,Abuse
101,88976791,"mma gboo,ka udele ji ebe no osisi kporo nku #proverbs",Normal
102,88976792,@username onye agwu........even ur gods will use u soon,Abuse
103,88976793,@username ekwensu...anu ofia...onye iberibe....amusu...,Abuse
104,88976794,@username ifa ka mmadụ ga àmà gị do ma nye na mmiri ọkụ eji akpọ cha ọkụkọ ##url,Normal
105,88976795,"@username the way you started this your letter, i thought you had sense but, ọ nweghị ike ị dịrị gị na nma this man, ka mụ ụka ihe ga a dịrị gị na nma, ọnwụ gbufuo gị...  onye iberibe chineke kpọrọ òkù..",Abuse
106,88976796,@username ekperima zuru nne gi na nna gi! otele!,Abuse
107,88976797,huh! diz guy na olodo,Abuse
108,88976798,"many tins ""@username : loll onye agwu! whatchu doin on da fone sef? ""@username : ur x abi ur babe ""@username : you're bangable not dateable",Abuse
109,88976799,@username i bụ ezigbo ewu awụsa..... i doberu afụ ọnụ ka mkpi mazi,Abuse
110,88976800,"bakin duri ""@username : anu""cino: ekpo ""@username : pa zuzu""_cino: unam ikot "": nke nna gi""cino: bura ""z: ofeke"" ebot ""zz: nna gi ana afubu """,Abuse
111,88976801,"@username mmanya diochi'a aburo maka onye nwere uburu na ile ewu ka gi, nya i ga-ebuzo sachapu onu ule tupu i nghota ezigbo uto mmanya diochi'a",Abuse
112,88976802,ozu wun ru. awun.  rt @username : ewu congo rt @username : *speakin in igbo* ano fia rt @username : ☹ ure just a tout rt @username : can u slap ur .,Abuse
113,88976803,@username ewu awusa dey call person nwa nkita  anuofia,Abuse
114,88976804,"@username hahahah.  bia nwa otu nna gi bu onye mgbu. serve 4 masters, no settlement, come on.",Abuse
115,88976805,"@username ori nna gi, ori nnanna nnagi, ori ara ile, ori nnegi, ori nnenne gi",Abuse
116,88976806,@username kitikpa gbagbuo gi  there! aka nkita,Abuse
117,88976807,"@username ebuka my brother, ó díka íchóghóró ka ndi ugwu na ndí ofe mmanu ghara i laghú ula abali",Hate
118,88976808,ebe unu ga n'acho anu salla. ndi usa... lol rt @username : munwa agaghikwa :( rt @username : nwanne agaghi m (cont) ##url,Abuse
119,88976809,"and we praise our awesome god...........singing ""eze ndi eze imela  onye ne me nma aka na gwo oria isi ehi nke ndu"" #ppmservice",Normal
120,88976810,"2/2 you can see yourself in the tweet. if you separated  mazi wife from him and tell her all sorts, what justifies that you respect the fact that nnamdi kanu is our leader to you?  ngwa people said "" gi mara ihe iga-agwa onye ozu mgbe esemokwu, maka ubochi mmezi"" ##url",Normal
121,88976811,"ana kpozi ha ndi ofe mmanu,owu zi ndi ofe ose  rt @username : ndi ahu bu ndi agwu !! rt @username : gini mere ndi ofe mmanu?",Hate
122,88976812,@username iwere ọnụ ọjọọ 🤣🤣🤣,Abuse
123,88976813,taaa! rie nsi! rt @username : see ur life *smh* rt uche_p: shaarraaap! i wu onye oshi?! /:) rt (cont) ##url,Abuse
124,88976814,"@username chukwu kpo, nne gi,nnenne gi, nna gi, nna nna,gi na  ezi na ulo gi oku ndi uchu sabo nti ike ndi oshi pos nzama group of company",Abuse
125,88976815,@username onye nzuzu they forbid to president of nigeria,Abuse
126,88976816,#repost buhari: ogịnị ne me onye nka?!  ọ na chi ọchị ka ewu ha tinye n'oku  oshiomole : collect corona v free of charge nna - @username ##url ##url,Abuse
127,88976817,@username tag ohanaeze ndi igbo join ewu,Hate
128,88976818,"@username come and delete it from my phone , onye nzuzu😭",Abuse
129,88976819,"@username onye nzama, onye ori azuru azu what the hell are you doing here?",Abuse
130,88976820,isi ewu on my freaky mind.,Abuse
131,88976821,@username ńnà gị wu impostor atụrụ awusa,Abuse
132,88976822,"just posted a photo @ ozu abam, arochukwum ##url",Abuse
133,88976823,@username oh nice. kitikpa gbagbuo gi there,Abuse
134,88976824,"lee ihu gi di ka mkpi. jes cho nne gi, ka ya gbuo ishi gi n'ime okesimmiri. anu mpama. tinye gi oku. amadioha ga puo gi ezigbo oku. amosu. ##url",Abuse
135,88976825,"tụfịakwa!!! simple instructions, you people cannot follow. you're here crying foul. anụmanụ!! ##url",Abuse
136,88976826,otua ka odi rt @username : onye iberibe o na-amakwanu mgbe e kere nku ukwa?,Abuse
137,88976827,"bikonu why na unu bu umu igbo amaro eme nwanne na anything? oh ""ona esoghari nwanyi na ike"" ogburu mmadu?okwa so ifunanya ka ofuru? omere aru? biko,gosim ofu onye ofe mmanu na assuport ozo otu unu si assupport onye nke ha?? orubero mgbe unu ga ama ife abi??ndi ara #bbnaija",Hate
138,88976828,"@username ikwucha go. nnukwu isi anya eke ooo. the world will go, and leave you behind.",Abuse
139,88976829,isi adiro gi mma... onukwu odeku ##url,Abuse
140,88976830,"onye gini? eriela gi? rt @username : onye agwu!""@username : take me home and ur life will never remain the same rt @username : if i take u home...",Abuse
141,88976831,@username buru nnukwu isi gi puo n'uzo,Abuse
142,88976832,"@username nkita ara tafukwa gi akpa amu, tanye gi rabies. @username hold your husband o",Abuse
143,88976833,"@username inwere time agwa dị mugu okwu...guy, oburokwanu okwu n'ile kwesịrị ọsịsa, rapụ the nkịta ara ka ọgbọba for nothing!   #asụsụigbobụorgasm  makachi!",Abuse
144,88976834,"bịa nwoke, ị ro ebea pụọ kita, kitikpa agbachi gị anya, the guy was shocked, the lady too. i continued, so everyday you are going to umunze, coming from sokoto, getting robbed on the way.. jee chọọ ife i ya alụ. omalica nwoke dị ka gị, i si na ọ iyoo ayiyo ka lu gịnma",Abuse
145,88976835,"@username 😂😂 oginni ? , isi ewu",Abuse
146,88976836,"nkita ara racha onu gi,  anuohia! ##url",Abuse
147,88976837,@username said by onye ofe mmanu,Hate
148,88976838,lmao rt @username : ndi ugwu na ndi ofe mmanu.,Hate
149,88976839,"ụnụ amakwa n'ịzụuka abụọ ọbụla, otu asụsụ na-ala? ịmakwa n'afọ pụkụ abụọ na-abịa, asụsụ igbo nwere ike bụrụ asụsụ lara ala?#preservelanguage",Normal
150,88976840,kitikpa gbagbuo gi dia! mkpi mmuo ##url,Abuse
151,88976841,"@username ewu awụsa, lota ka ị lụọ agha na o seti go! onukwu.",Abuse
152,88976842,@username 😂😂 lol nkita ara dika m,Abuse
153,88976843,"lmao!! rt @username : otu gi ""@username : eyyyyah dis geh yaff kolo ""@username : bukola ga na'me ka onye ala..onye iberibe""""",Abuse
154,88976844,@username nwa onye iberibe and nwa ndi nzuzu,Abuse
155,88976845,"ah, ọnụ ọjọọ ##url",Abuse
156,88976846,@username kitikpa gbariakwa nne gi anya ebeahu ...lekwa nkea jiderem🖕,Abuse
157,88976847,"#wildfact  in igbo land, it is a taboo to eat vulture, because vulture is viewed as unclean meat. udele bụ ajọ anụ!  despite the beauty of a guinea fowl (ọgazị), it is never used for any ritual. ọgazị amaka mana e jighị ọgazị agọ mmụọ! ##url",Normal
158,88976848,"nke bu ekwensu,correct owerri man 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 ##url",Abuse
159,88976849,"nwanyi mara obi di ya, ndi usa asi oji ogwu jide ya ..... when a woman knows her way around her husband’s heart, people say she used juju on him... ##url",Normal
160,88976850,@username ije ụwa bụ agwọ ije ụwa na aga ka agwọ osi aka nni aga ọ osi aka ekpe aga. mad songs from him 🔥🔥,Normal
161,88976851,@username ndị afọ njọ 😂😂😂. osondi owendi ##url,Abuse
162,88976852,@username ewu ka gi nma   anu ohia,Abuse
163,88976853,@username ndi usa kacha ezuzu,Abuse
164,88976854,"utu ọcha come and speak english again... coward that cannot troll with his chest. how is your conscience now? that conscience sha kuwa gị isi there, onye arụrụala ##url",Abuse
165,88976855,@username 😂😂😂😂🤣🤣🤣🤣🤣  odibero late ooh.. inwelu ike iweputa di amu na express ozugbo,Normal
166,88976856,"agadi nwoke....sorry""@username : smh! no respect! *slaps* rt""@username : taaa!gbafuo..onye iberibe""@username : bia barber take ur tym o!",Abuse
167,88976857,@username *onye iberibe sha.  sorry monica lababala,Abuse
168,88976858,"@username wototo is always the code, ndi akpiri ogologo everywhere.",Abuse
169,88976859,@username ole barawo onye ori ##url,Abuse
170,88976860,@username yo! is that your comeback? 😁😁😁😁😁😁 onye mgbu!! ina achọ porsche you didn't work for.,Abuse
171,88976861,"#simonekpa simon ekperima barr ifeanyi ejiofor etigo gi mgbada nwuru anwu n'isi 🤣🤣🤣🤣,onye mgbu",Abuse
172,88976862,"@username yes dear, isi ewu",Abuse
173,88976863,@username mechie eze ule. onuku,Abuse
174,88976864,"""just negodi! @username : okpowu go'ya o. chaii ike nsi.. virgin ndi ara ""@username : @username giwan bi akpa amu. onye nzuzu. biko hapum",Abuse
175,88976865,e say na virginia maintenance. onye nzuzu,Abuse
176,88976866,"didn't ask u na @username : sooo not funny ""@username : lmao ""@username : nna gi bu onye ochi""""@username : plz, what's the meaning o",Normal
177,88976867,@username mana ịkpọ go nụ ya already... ọnụ ọjọọ gị dị egwu! 😢,Abuse
178,88976868,chimaroke onye ori! 🤣🤣🤣 ##url,Abuse
179,88976869,"onye nzuzu""@username : wish u d same""@username : onye ala!""@username : @username amen ooh""""""",Abuse
180,88976870,@username nwaanyi inokwa na obodo a? ihiala they've shooting and bombing since last year,Normal
181,88976871,"@username you are onye nzuzu, iberibe gbukwa gi ebe ahu. bastard",Abuse
182,88976872,@username ndi ugwu and ndi ofe mmanu is the major problem we have in this country.,Hate
183,88976873,"@username ihe m mụtara n'akụkọ a bụ, onye aghụghọ nwụọ onye aghụghọ ibe ya elie ya.  agụ dị ka ọkụkọ chefuru onye fọrọ ya ọdụ n'udummiri.",Normal
184,88976874,listening to mike ejeagha onye ori utaba music . proud to be igbo.,Abuse
185,88976875,@username space ndi ofe mmanụ 😂😂,Hate
186,88976876,"🤣🤣🤣🤣 ""part time nigerian"" come and onukwu join 😂. ##url",Abuse
187,88976877,@username onye mgbu like you,Abuse
188,88976878,@username onye iberibe uturu gbagbuo ji aturu eji eje aba,Abuse
189,88976879,"@username anam eme nzuzu ka gi ? onye iberibe, anu mpama, iti akwu",Abuse
190,88976880,@username is this the response to dr. amadi's revelations about you?  onye aghụghọ.,Abuse
191,88976881,did maria just speak this deep igbo language? 'ofe a gba lu ka'. wahala!!!!😂😂 nwata bu ofe mmanu! #bbnaija,Hate
192,88976882,@username person just waste isi ewu,Abuse
193,88976883,"now that dede sam has apologized, onye ahụ kpọrọ ya ""made in aba garba shehu"" should also.............   ahhh, ọnụ dị n'ụwa a, mana ọnụ ọjọọ ka! 😭 😭  #iamigbotoo",Abuse
194,88976884,"nigger gaa nuo a amu “@username : isi gi ogene ""@username : @username ịhụ gị nnukwu isi ya dị ka mmiri egusi""”",Abuse
195,88976885,@username mpa gi enwelu ikpu ? onye awulum cum onye mgbu,Abuse
196,88976886,"@username anụ ọhịa, is better u call urself to order, before  ekwensu akpọ gị òkù  auto harlot 😅😅😅😅😅😅 ##url",Abuse
197,88976887,"@username na them be this, oloshi   ekwensu kpokwa gi oku there bastard  onye oshi di ka gi   e go rotate for you one day sha, anuofia!!",Abuse
198,88976888,"@username odogwu bu odogwu. odogwu abuhi  ofeke adihi aza ebube dike.😒  in igbo land nna gi kpo gi odogwu, amu akwuru gi oto.🤓  maybe you might feel its because he shares the ""eke"" with you. nope. [eke- chicken pussy]  na ala igbo, odogwu is beyond eke okuko  ""yahoo""😆",Normal
199,88976889,"ubochi a ga akpuru ndi usa, si kpuru kwuo ma ndi akpiri n'otu. ndibe anyi, ohia dikwa nu ka enwe amaghi ya.",Normal
200,88976890,"@username nezianu this thing! probably you think i am one no-body🤣 tell me where you are! if in europe tell me, ka m tuo down in less than two hours were gwa gi na i bu onye nzuzu. onye agbala uchu! agamevu! onye isi ndi ara. ifum nuzo yenyen, nezianu ihu onye na ama m aka! taa gbafuo dia",Abuse
201,88976891,"@username ikemba onye nzuzu,  ihele gi na eme m, shame dey catch me on your behalf 😂😂",Abuse
202,88976892,@username otu nne gi there mkpi,Abuse
203,88976893,@username ichie mmaduka: arrant nonsense! tie ewu n'abu!,Normal
204,88976894,"nwa nza rijuo afo, o si chi ya puta ka ha luo ogu.",Normal
205,88976895,**turns cerelac with nan**  onye obi okwute! caste and die. 🙄🙄🙄🙄🙄 ##url,Abuse
206,88976896,"rt @username : @username pls rt n check out ""onye agwu ft. shuley dee "" by @username link&gt;&gt; ##url #irepnaijamusic",Abuse
207,88976897,"@username dimkpa benin, lol",Normal
208,88976898,"kitikpa gbagbuo kwa gị there! for you to be in finland &amp; give people of biafra directive here while, you go about your daily business in finland. idiot! chineke kpọọ gị ọkụ, ụsụ! we await those miscreant like you, you gonna send out to work for you, tomorrow @username ##url",Abuse
209,88976899,akpo this man onye nzuzu kita asi na mmadu na akpo ukochukwu onye nzuzu ##url,Abuse
210,88976900,@username everywhere rubbish takes. ndi nzuzu 🥴,Abuse
211,88976901,@username gini ka nkea na asu... ? swahilli abi na jap. ofeke,Abuse
212,88976902,"@username afonja,it's your fellowship onye ofe mmanu that wrote it. ezi ohia.",Hate
213,88976903,yen yen yen yen mechie eze ule gi ##url ##url,Abuse
214,88976904,"@username the only confused person here is you.  ma gị, ma nne gị, ma nna gị bụ ndị apari  ozu!!!",Abuse
215,88976905,"agwu kwa? enyim nwanyi bukwa onye ofe mmanu rt""@username : ndi ahu bu ndi agwu !! rt @username : gini mere ndi ofe mmanu?",Abuse
216,88976906,@username congratulations nwaanyị oma! udo!,Normal
217,88976907,"@username atulu na enwero onye nche, bulu onwe gi puta ka m me gi alu. nne na nna gi onwu ga gbo fa anuofia.",Abuse
218,88976908,@username where is the fraud here? agadi nwoke na agwo ofe,Abuse
219,88976909,@username akụkọ ụwa.... onye arụrụala,Abuse
220,88976910,@username just negodu nụ profiling anụmanụ ibraheem did here. ##url,Abuse
221,88976911,"@username akụkọ onye mgbu, ọgwụ ala agba dis man agwụla.",Abuse
222,88976912,@username zombie o kwa ya? makana o na-azo umu biafra. i so na ndi juru n' umu biafra agaghi e nweta ihe ha tufurula otutu ndu maka ya. anu ohia! 'ofeke na-amaghi mgbe ekere nku ukwa'. 🙄,Abuse
223,88976913,onye ejide n'ukwu ose bu onye oshi ose ##url,Normal
224,88976914,@username mgbada ka ibu ewu awusa,Abuse
225,88976915,taa gbafuo. onye juu gi? rt @username : @username help your dieters lose weight! ##url,Normal
226,88976916,"@username chineke ga-aga n’ihu gọzie gị n’ụba, ị gaghị enwe ụkpa ijn",Normal
227,88976917,@username kitikpa gbagbuo gi there.....ekperima!!,Abuse
228,88976918,oge erugo ịmalite ide ederede na asụsụ nna nna gị ma anyị ga-ebute ihe atụ,Normal
229,88976919,"@username #igboproverbfriday okwu ubochi mbu ka onye ije hi well egbuo dike n'ogu ulo, ubochi agha achoba ya omenala ndi diiri ha ka ndi si eme anaghi ako ha onye agwu bu n'oku n'oku",Normal
230,88976920,@username neenu ka this man ji buru nnukwu isi ya na-anọchi mmadụ ụzọ here😏🙄,Abuse
231,88976921,"@username akpiri ogonogo! poverty, unemployment, idiosyncrasies and above all isi aki oyibo",Abuse
232,88976922,2023 intro! ofe mmanụ ga aghọta na ndị ugwu amaghị onye ṅwụrụ ụzụ-akwa ya n'atụ. ##url,Hate
233,88976923,"@username 🙄🙄🙄 if i slap u ehh u go translate that ur kpuchipu eze ule gi a, to english",Abuse
234,88976924,@username sunny ekwekwana ka kitikpa gbagbuo gi,Abuse
235,88976925,@username hapu ndi akpiri ego ndi fulani turu ime ha..some doing it out of clannishness.,Abuse
236,88976926,@username lol...bbm aint d same witout u isi aki oyibo ^_^#pandora misses ya too,Abuse
237,88976927,"@username onye iberibe, with umu aturu follower's, send your killers out nah",Abuse
238,88976928,@username but they deserve apc and tinubu?  onye nzuzu. onye ara. onye apari. ewu,Abuse
239,88976929,"ewu na enweghi odu, chi ya na achuru ya ijiji!",Normal
240,88976930,"@username ewu congo, what are you doing here elohim gbuo gi there, ottelectual ka gi mma, nwaokoko nwuruanwu, ezi abakpa",Abuse
241,88976931,@username wtf is onye nzuzu? 😂,Abuse
242,88976932,"i mazi okenye  abi?rt @username : wetin i do nah lol""@username : @username bia nnukwu isi a, u neva see me!?""",Abuse
243,88976933,@username kitikpa gbagbuo gi na atiku. rijuo nu nsi onu there,Abuse
244,88976934,@username onye oshi...go joor! don't com again wit any q&a time 2mao...y din't u ansa me 2day? i mere ihu ka ikwikwi!,Abuse
245,88976935,@username getaway you!  obi okwute,Abuse
246,88976936,"small tackle from onye nkụzi yesterday and joe abah has been masturbating all over twitter like a sex starved prisoner. agadi nwoke gwo ofe. okenye alụlụ ani. twitter chinwetalu agu. he was thinking he could bully onye nkụzi with ""have you worked in government"". onye mgbu.",Abuse
247,88976937,"@username onye iberibe,hapu onye ewere ogugu ishi",Abuse
248,88976938,@username taa mechie eze ule,Abuse
249,88976939,@username uche gị dị na ndị ofe mmanụ?😒 ọ dị mma,Hate
250,88976940,isi nkita?? mba nu!!,Normal
251,88976941,"@username ara ga eburuzo gbabou ezi na ulo na gi na nne gi, gbabou ndi ikwu  nne gi, na ikwu nna gi. akwuna",Abuse
252,88976942,@username ndi ara. one even said we call them ofe mmanu,Hate
